hiLocus	iLocus	Species	Protein
HymHub-v0.3.0-HILC-302	PcanILC-02677		XP_014616877.1
HymHub-v0.3.0-HILC-302	PdomILC-13505		XP_015187625.1
HymHub-v0.3.0-HILC-302	NvitILC-16118		XP_008206139.1
HymHub-v0.3.0-HILC-303	AmelILC-05715		XP_396815.3
HymHub-v0.3.0-HILC-303	BterILC-03606		XP_003395603.1
HymHub-v0.3.0-HILC-303	CfloILC-16604		XP_011260053.1
HymHub-v0.3.0-HILC-303	HsalILC-12941		XP_011141949.1
HymHub-v0.3.0-HILC-303	PcanILC-07150		XP_014604552.1
HymHub-v0.3.0-HILC-303	PdomILC-04427		XP_015173720.1
HymHub-v0.3.0-HILC-303	NvitILC-08761		XP_008211195.1
HymHub-v0.3.0-HILC-304	AmelILC-14199		XP_392094.3
HymHub-v0.3.0-HILC-304	BterILC-11385		XP_012172313.1
HymHub-v0.3.0-HILC-304	CfloILC-19643		XP_011262287.1
HymHub-v0.3.0-HILC-304	HsalILC-13487		XP_011142562.1
HymHub-v0.3.0-HILC-304	PcanILC-09952		XP_014608866.1
HymHub-v0.3.0-HILC-304	PdomILC-01038		XP_015186370.1
HymHub-v0.3.0-HILC-304	NvitILC-10564		XP_008207247.1
HymHub-v0.3.0-HILC-305	AmelILC-03361		XP_006559764.1
HymHub-v0.3.0-HILC-305	BterILC-02189		XP_003394443.1
HymHub-v0.3.0-HILC-305	CfloILC-19845		XP_011262496.1
HymHub-v0.3.0-HILC-305	HsalILC-11019		XP_011140322.1
HymHub-v0.3.0-HILC-305	PcanILC-09130		XP_014607597.1
HymHub-v0.3.0-HILC-305	PdomILC-08789		XP_015180759.1
HymHub-v0.3.0-HILC-305	NvitILC-03971		XP_008208020.1
HymHub-v0.3.0-HILC-306	AmelILC-13693		XP_624100.3
HymHub-v0.3.0-HILC-306	BterILC-10153		XP_012171579.1
HymHub-v0.3.0-HILC-306	CfloILC-10879		XP_011255169.1
HymHub-v0.3.0-HILC-306	HsalILC-09451		XP_011138911.1
HymHub-v0.3.0-HILC-306	PcanILC-03671		XP_014599178.1
HymHub-v0.3.0-HILC-306	PdomILC-06293		XP_015176853.1
HymHub-v0.3.0-HILC-306	NvitILC-22758		XP_003424526.1
HymHub-v0.3.0-HILC-307	AmelILC-04760		XP_006567292.1
HymHub-v0.3.0-HILC-307	BterILC-12675		XP_003402480.1
HymHub-v0.3.0-HILC-307	CfloILC-21429		XP_011263576.1
HymHub-v0.3.0-HILC-307	HsalILC-12599		XP_011141694.1
HymHub-v0.3.0-HILC-307	PcanILC-12056		XP_014611682.1
HymHub-v0.3.0-HILC-307	PdomILC-03907		XP_015173191.1
HymHub-v0.3.0-HILC-307	NvitILC-04963		XP_008217881.1
HymHub-v0.3.0-HILC-308	AmelILC-04720		XP_006567253.1
HymHub-v0.3.0-HILC-308	BterILC-03145		XP_003394898.1
HymHub-v0.3.0-HILC-308	CfloILC-06104		XP_011251364.1
HymHub-v0.3.0-HILC-308	HsalILC-20157		XP_011148258.1
HymHub-v0.3.0-HILC-308	PcanILC-05997		XP_014602817.1
HymHub-v0.3.0-HILC-308	PdomILC-10201		XP_015182781.1
HymHub-v0.3.0-HILC-308	NvitILC-08328		XP_008203475.1
HymHub-v0.3.0-HILC-309	AmelILC-00106		NP_001201833.1
HymHub-v0.3.0-HILC-309	BterILC-08489		XP_012169545.1
HymHub-v0.3.0-HILC-309	CfloILC-19414		XP_011262085.1
HymHub-v0.3.0-HILC-309	HsalILC-12030		XP_011141281.1
HymHub-v0.3.0-HILC-309	PcanILC-00455		XP_014601373.1
HymHub-v0.3.0-HILC-309	PdomILC-06196		XP_015176738.1
HymHub-v0.3.0-HILC-309	NvitILC-03073		XP_003424582.1
HymHub-v0.3.0-HILC-310	AmelILC-04731		XP_006567263.1
HymHub-v0.3.0-HILC-310	BterILC-03031		XP_003394980.1
HymHub-v0.3.0-HILC-310	CfloILC-26315		XP_011267297.1
HymHub-v0.3.0-HILC-310	HsalILC-09691		XP_011139133.1
HymHub-v0.3.0-HILC-310	PcanILC-00916		XP_014606420.1
HymHub-v0.3.0-HILC-310	PdomILC-03533		XP_015172428.1
HymHub-v0.3.0-HILC-310	NvitILC-01219		XP_001599238.2
HymHub-v0.3.0-HILC-311	AmelILC-15506		XP_395962.2
HymHub-v0.3.0-HILC-311	BterILC-02038		XP_012175844.1
HymHub-v0.3.0-HILC-311	CfloILC-22152		XP_011264144.1
HymHub-v0.3.0-HILC-311	HsalILC-00384		XP_011154068.1
HymHub-v0.3.0-HILC-311	PcanILC-01543		XP_014615187.1
HymHub-v0.3.0-HILC-311	PdomILC-12564		XP_015186258.1
HymHub-v0.3.0-HILC-311	NvitILC-13617		XP_001599627.1
HymHub-v0.3.0-HILC-312	AmelILC-00268		XP_006560311.1
HymHub-v0.3.0-HILC-312	BterILC-06711		XP_012167716.1
HymHub-v0.3.0-HILC-312	CfloILC-24501		XP_011266084.1
HymHub-v0.3.0-HILC-312	HsalILC-24760		XP_011151904.1
HymHub-v0.3.0-HILC-312	PcanILC-02534		XP_014616642.1
HymHub-v0.3.0-HILC-312	PdomILC-02448		XP_015191589.1
HymHub-v0.3.0-HILC-312	NvitILC-03605		XP_008209611.1
HymHub-v0.3.0-HILC-313	AmelILC-01615		XP_006571222.1
HymHub-v0.3.0-HILC-313	BterILC-00487		XP_012166092.1
HymHub-v0.3.0-HILC-313	CfloILC-03631		XP_011268919.1
HymHub-v0.3.0-HILC-313	HsalILC-02310		XP_011149418.1
HymHub-v0.3.0-HILC-313	PcanILC-04516		XP_014600603.1
HymHub-v0.3.0-HILC-313	PdomILC-01969		XP_015190709.1
HymHub-v0.3.0-HILC-313	NvitILC-10670		XP_008207395.1
HymHub-v0.3.0-HILC-314	AmelILC-15788		XP_006571984.1
HymHub-v0.3.0-HILC-314	BterILC-07443		XP_003398638.1
HymHub-v0.3.0-HILC-314	CfloILC-21797		XP_011263784.1
HymHub-v0.3.0-HILC-314	HsalILC-26329		XP_011153238.1
HymHub-v0.3.0-HILC-314	PcanILC-07866		XP_014605721.1
HymHub-v0.3.0-HILC-314	PdomILC-11922		XP_015185342.1
HymHub-v0.3.0-HILC-314	NvitILC-07020		XP_008213670.1
HymHub-v0.3.0-HILC-315	AmelILC-08184		XP_006559594.1
HymHub-v0.3.0-HILC-315	BterILC-11753		XP_012173234.1
HymHub-v0.3.0-HILC-315	CfloILC-15164		XP_011258832.1
HymHub-v0.3.0-HILC-315	HsalILC-21058		XP_011149041.1
HymHub-v0.3.0-HILC-315	PcanILC-08851		XP_014607197.1
HymHub-v0.3.0-HILC-315	PdomILC-01716		XP_015188801.1
HymHub-v0.3.0-HILC-315	NvitILC-13191		NP_001177861.1
HymHub-v0.3.0-HILC-316	AmelILC-07307		XP_006559882.1
HymHub-v0.3.0-HILC-316	BterILC-05732		XP_012166581.1
HymHub-v0.3.0-HILC-316	CfloILC-11981		XP_011256109.1
HymHub-v0.3.0-HILC-316	HsalILC-01702		XP_011144778.1
HymHub-v0.3.0-HILC-316	PcanILC-08308		XP_014606257.1
HymHub-v0.3.0-HILC-316	PdomILC-03663		XP_015172717.1
HymHub-v0.3.0-HILC-316	NvitILC-06640		XP_008210463.1
HymHub-v0.3.0-HILC-317	AmelILC-03841		XP_006568049.1
HymHub-v0.3.0-HILC-317	BterILC-07793		XP_003399206.1
HymHub-v0.3.0-HILC-317	CfloILC-13008		XP_011257151.1
HymHub-v0.3.0-HILC-317	HsalILC-23768		XP_011151358.1
HymHub-v0.3.0-HILC-317	PcanILC-12413		XP_014612167.1
HymHub-v0.3.0-HILC-317	PdomILC-12925		XP_015186811.1
HymHub-v0.3.0-HILC-317	NvitILC-05247		XP_008204395.1
HymHub-v0.3.0-HILC-318	AmelILC-13840		XP_006565701.1
HymHub-v0.3.0-HILC-318	BterILC-09820		XP_012171204.1
HymHub-v0.3.0-HILC-318	CfloILC-01154		XP_011254515.1
HymHub-v0.3.0-HILC-318	HsalILC-01035		XP_011139623.1
HymHub-v0.3.0-HILC-318	PcanILC-05954		XP_014602678.1
HymHub-v0.3.0-HILC-318	PdomILC-03427		XP_015172377.1
HymHub-v0.3.0-HILC-318	NvitILC-04662		XP_008209672.1
HymHub-v0.3.0-HILC-319	AmelILC-08773		XP_006568117.1
HymHub-v0.3.0-HILC-319	BterILC-11461		XP_003401668.1
HymHub-v0.3.0-HILC-319	CfloILC-15391		XP_011259069.1
HymHub-v0.3.0-HILC-319	HsalILC-08710		XP_011138176.1
HymHub-v0.3.0-HILC-319	PcanILC-00584		XP_014604243.1
HymHub-v0.3.0-HILC-319	PdomILC-02693		XP_015171080.1
HymHub-v0.3.0-HILC-319	NvitILC-03508		XP_001602853.1
HymHub-v0.3.0-HILC-320	AmelILC-13550		XP_001122583.2
HymHub-v0.3.0-HILC-320	BterILC-10287		XP_003400902.1
HymHub-v0.3.0-HILC-320	CfloILC-14534		XP_011258390.1
HymHub-v0.3.0-HILC-320	HsalILC-15218		XP_011144084.1
HymHub-v0.3.0-HILC-320	PcanILC-08798		XP_014607065.1
HymHub-v0.3.0-HILC-320	PdomILC-08151		XP_015179568.1
HymHub-v0.3.0-HILC-320	NvitILC-12730		XP_003425259.1
HymHub-v0.3.0-HILC-321	AmelILC-11457		XP_006566470.1
HymHub-v0.3.0-HILC-321	BterILC-08355		XP_003399357.1
HymHub-v0.3.0-HILC-321	CfloILC-09771		XP_011254276.1
HymHub-v0.3.0-HILC-321	HsalILC-16386		XP_011145042.1
HymHub-v0.3.0-HILC-321	PcanILC-06010		XP_014602814.1
HymHub-v0.3.0-HILC-321	PdomILC-05138		XP_015175056.1
HymHub-v0.3.0-HILC-321	NvitILC-22673		XP_008216761.1
HymHub-v0.3.0-HILC-322	AmelILC-13120		XP_006565090.1
HymHub-v0.3.0-HILC-322	BterILC-09707		XP_012170826.1
HymHub-v0.3.0-HILC-322	CfloILC-14245		XP_011258125.1
HymHub-v0.3.0-HILC-322	HsalILC-04011		XP_011154812.1
HymHub-v0.3.0-HILC-322	PcanILC-08488		XP_014606605.1
HymHub-v0.3.0-HILC-322	PdomILC-13034		XP_015186939.1
HymHub-v0.3.0-HILC-322	NvitILC-10699		XP_001607778.2
HymHub-v0.3.0-HILC-323	AmelILC-11580		XP_006566594.1
HymHub-v0.3.0-HILC-323	BterILC-08298		XP_012169794.1
HymHub-v0.3.0-HILC-323	CfloILC-23148		XP_011265011.1
HymHub-v0.3.0-HILC-323	HsalILC-22936		XP_011150658.1
HymHub-v0.3.0-HILC-323	PcanILC-10075		XP_014609022.1
HymHub-v0.3.0-HILC-323	PdomILC-02284		XP_015191354.1
HymHub-v0.3.0-HILC-323	NvitILC-09536		XP_008206733.1
HymHub-v0.3.0-HILC-324	AmelILC-15433		XP_006563222.1
HymHub-v0.3.0-HILC-324	BterILC-09181		XP_003399639.1
HymHub-v0.3.0-HILC-324	CfloILC-15831		XP_011259472.1
HymHub-v0.3.0-HILC-324	HsalILC-26360		XP_011153269.1
HymHub-v0.3.0-HILC-324	PcanILC-14091		XP_014614340.1
HymHub-v0.3.0-HILC-324	PdomILC-14418		XP_015188878.1
HymHub-v0.3.0-HILC-324	NvitILC-02125		XP_001601473.2
HymHub-v0.3.0-HILC-325	AmelILC-08357		XP_394734.4
HymHub-v0.3.0-HILC-325	BterILC-05762		XP_012166616.1
HymHub-v0.3.0-HILC-325	CfloILC-03964		XP_011269248.1
HymHub-v0.3.0-HILC-325	HsalILC-03764		XP_011154542.1
HymHub-v0.3.0-HILC-325	PcanILC-03471		XP_014598704.1
HymHub-v0.3.0-HILC-325	PdomILC-09522		XP_015181767.1
HymHub-v0.3.0-HILC-325	NvitILC-18187		XP_001605704.1
HymHub-v0.3.0-HILC-326	AmelILC-04723		XP_392642.2
HymHub-v0.3.0-HILC-326	BterILC-03142		XP_012163251.1
HymHub-v0.3.0-HILC-326	CfloILC-06107		XP_011251370.1
HymHub-v0.3.0-HILC-326	HsalILC-03575		XP_011154335.1
HymHub-v0.3.0-HILC-326	PcanILC-06000		XP_014602820.1
HymHub-v0.3.0-HILC-326	PdomILC-10198		XP_015182776.1
HymHub-v0.3.0-HILC-326	NvitILC-08295		NP_001153367.1
HymHub-v0.3.0-HILC-327	AmelILC-04312		XP_006560657.1
HymHub-v0.3.0-HILC-327	BterILC-02913		XP_012163478.1
HymHub-v0.3.0-HILC-327	CfloILC-19619		XP_011262253.1
HymHub-v0.3.0-HILC-327	HsalILC-13942		XP_011142934.1
HymHub-v0.3.0-HILC-327	PcanILC-04051		XP_014599726.1
HymHub-v0.3.0-HILC-327	PdomILC-08664		XP_015180401.1
HymHub-v0.3.0-HILC-327	NvitILC-17854		XP_008209000.1
HymHub-v0.3.0-HILC-328	AmelILC-01020		XP_006569640.1
HymHub-v0.3.0-HILC-328	BterILC-13257		XP_003402618.1
HymHub-v0.3.0-HILC-328	CfloILC-16306		XP_011259879.1
HymHub-v0.3.0-HILC-328	HsalILC-11331		XP_011140635.1
HymHub-v0.3.0-HILC-328	PcanILC-13764		XP_014613922.1
HymHub-v0.3.0-HILC-328	PdomILC-06942		XP_015177735.1
HymHub-v0.3.0-HILC-328	NvitILC-22917		XP_003424466.1
HymHub-v0.3.0-HILC-329	AmelILC-05420		NP_001229366.1
HymHub-v0.3.0-HILC-329	BterILC-03844		XP_003395697.1
HymHub-v0.3.0-HILC-329	CfloILC-13464		XP_011257569.1
HymHub-v0.3.0-HILC-329	HsalILC-08599		XP_011138057.1
HymHub-v0.3.0-HILC-329	PcanILC-07481		XP_014605221.1
HymHub-v0.3.0-HILC-329	PdomILC-11701		XP_015185051.1
HymHub-v0.3.0-HILC-329	NvitILC-05878		XP_008216176.1
HymHub-v0.3.0-HILC-330	AmelILC-13535		XP_006563139.1
HymHub-v0.3.0-HILC-330	BterILC-10299		XP_012171751.1
HymHub-v0.3.0-HILC-330	CfloILC-23677		XP_011265429.1
HymHub-v0.3.0-HILC-330	HsalILC-12395		XP_011141568.1
HymHub-v0.3.0-HILC-330	PcanILC-00359		XP_014599098.1
HymHub-v0.3.0-HILC-330	PdomILC-15114		XP_015189641.1
HymHub-v0.3.0-HILC-330	NvitILC-00515		XP_008203039.1
HymHub-v0.3.0-HILC-331	AmelILC-13755		XP_006565011.1
HymHub-v0.3.0-HILC-331	BterILC-10090		XP_012171518.1
HymHub-v0.3.0-HILC-331	CfloILC-16962		XP_011260347.1
HymHub-v0.3.0-HILC-331	HsalILC-22184		XP_011149987.1
HymHub-v0.3.0-HILC-331	PcanILC-06645		XP_014603906.1
HymHub-v0.3.0-HILC-331	PdomILC-08181		XP_015179576.1
HymHub-v0.3.0-HILC-331	NvitILC-11956		XP_008214561.1
HymHub-v0.3.0-HILC-332	AmelILC-05477		XP_624702.2
HymHub-v0.3.0-HILC-332	BterILC-03500		XP_003395686.1
HymHub-v0.3.0-HILC-332	CfloILC-18873		XP_011261636.1
HymHub-v0.3.0-HILC-332	HsalILC-25577		XP_011152542.1
HymHub-v0.3.0-HILC-332	PcanILC-09266		XP_014607775.1
HymHub-v0.3.0-HILC-332	PdomILC-10899		XP_015183906.1
HymHub-v0.3.0-HILC-332	NvitILC-03731		XP_008209822.1
HymHub-v0.3.0-HILC-333	AmelILC-11378		XP_393805.2
HymHub-v0.3.0-HILC-333	BterILC-08173		XP_003398911.1
HymHub-v0.3.0-HILC-333	CfloILC-14325		XP_011258183.1
HymHub-v0.3.0-HILC-333	HsalILC-25299		XP_011152347.1
HymHub-v0.3.0-HILC-333	PcanILC-01084		XP_014610946.1
HymHub-v0.3.0-HILC-333	PdomILC-07420		XP_015178541.1
HymHub-v0.3.0-HILC-333	NvitILC-08996		XP_008211427.1
HymHub-v0.3.0-HILC-334	AmelILC-14695		XP_397181.1
HymHub-v0.3.0-HILC-334	BterILC-10695		XP_003401031.1
HymHub-v0.3.0-HILC-334	CfloILC-18808		XP_011261579.1
HymHub-v0.3.0-HILC-334	HsalILC-13130		XP_011142226.1
HymHub-v0.3.0-HILC-334	PcanILC-10359		XP_014609493.1
HymHub-v0.3.0-HILC-334	PdomILC-07223		XP_015178114.1
HymHub-v0.3.0-HILC-334	NvitILC-12740		XP_001605495.2
HymHub-v0.3.0-HILC-335	AmelILC-14844		XP_006563745.1
HymHub-v0.3.0-HILC-335	BterILC-08460		XP_012169580.1
HymHub-v0.3.0-HILC-335	CfloILC-18723		XP_011261476.1
HymHub-v0.3.0-HILC-335	HsalILC-04886		XP_011135082.1
HymHub-v0.3.0-HILC-335	PcanILC-05227		XP_014601733.1
HymHub-v0.3.0-HILC-335	PdomILC-05440		XP_015175542.1
HymHub-v0.3.0-HILC-335	NvitILC-00197		XP_001605497.2
HymHub-v0.3.0-HILC-336	AmelILC-06100		XP_003249233.1
HymHub-v0.3.0-HILC-336	BterILC-04290		XP_012164959.1
HymHub-v0.3.0-HILC-336	CfloILC-18180		XP_011261154.1
HymHub-v0.3.0-HILC-336	HsalILC-09805		XP_011139179.1
HymHub-v0.3.0-HILC-336	PcanILC-10430		XP_014609583.1
HymHub-v0.3.0-HILC-336	PdomILC-03607		XP_015172546.1
HymHub-v0.3.0-HILC-336	NvitILC-04929		XP_001603693.2
HymHub-v0.3.0-HILC-337	AmelILC-06271		XP_006562540.1
HymHub-v0.3.0-HILC-337	BterILC-04269		XP_012164933.1
HymHub-v0.3.0-HILC-337	CfloILC-07205		XP_011252133.1
HymHub-v0.3.0-HILC-337	HsalILC-25211		XP_011152284.1
HymHub-v0.3.0-HILC-337	PcanILC-03395		XP_014598630.1
HymHub-v0.3.0-HILC-337	PdomILC-09773		XP_015182177.1
HymHub-v0.3.0-HILC-337	NvitILC-23209		XP_001599891.3
HymHub-v0.3.0-HILC-338	AmelILC-05221		XP_001120917.2
HymHub-v0.3.0-HILC-338	BterILC-03482		XP_003395702.1
HymHub-v0.3.0-HILC-338	CfloILC-02223		XP_011263743.1
HymHub-v0.3.0-HILC-338	HsalILC-16917		XP_011145465.1
HymHub-v0.3.0-HILC-338	PcanILC-01889		XP_014615706.1
HymHub-v0.3.0-HILC-338	PdomILC-08337		XP_015179821.1
HymHub-v0.3.0-HILC-338	NvitILC-09243		XP_008211683.1
HymHub-v0.3.0-HILC-339	AmelILC-00701		XP_396520.3
HymHub-v0.3.0-HILC-339	BterILC-10306		XP_003400894.1
HymHub-v0.3.0-HILC-339	CfloILC-23671		XP_011265407.1
HymHub-v0.3.0-HILC-339	HsalILC-15626		XP_011144439.1
HymHub-v0.3.0-HILC-339	PcanILC-01175		XP_014611603.1
HymHub-v0.3.0-HILC-339	PdomILC-05646		XP_015175894.1
HymHub-v0.3.0-HILC-339	NvitILC-00444		XP_008202975.1
HymHub-v0.3.0-HILC-340	AmelILC-11998		XP_006558367.1
HymHub-v0.3.0-HILC-340	BterILC-10589		XP_003400995.1
HymHub-v0.3.0-HILC-340	CfloILC-17001		XP_011260401.1
HymHub-v0.3.0-HILC-340	HsalILC-07987		XP_011137510.1
HymHub-v0.3.0-HILC-340	PcanILC-09986		XP_014608937.1
HymHub-v0.3.0-HILC-340	PdomILC-11681		XP_015184949.1
HymHub-v0.3.0-HILC-340	NvitILC-00005		XP_003425529.1
HymHub-v0.3.0-HILC-341	AmelILC-09733		XP_006567529.1
HymHub-v0.3.0-HILC-341	BterILC-05974		XP_003397414.1
HymHub-v0.3.0-HILC-341	CfloILC-17060		XP_011260478.1
HymHub-v0.3.0-HILC-341	HsalILC-07647		XP_011137266.1
HymHub-v0.3.0-HILC-341	PcanILC-04128		XP_014599962.1
HymHub-v0.3.0-HILC-341	PdomILC-04354		XP_015173844.1
HymHub-v0.3.0-HILC-341	NvitILC-10506		XP_001607040.2
HymHub-v0.3.0-HILC-342	AmelILC-00115		XP_006558666.1
HymHub-v0.3.0-HILC-342	BterILC-08419		XP_012169623.1
HymHub-v0.3.0-HILC-342	CfloILC-19891		XP_011262466.1
HymHub-v0.3.0-HILC-342	HsalILC-18110		XP_011146381.1
HymHub-v0.3.0-HILC-342	PcanILC-03814		XP_014599379.1
HymHub-v0.3.0-HILC-342	PdomILC-13731		XP_015187986.1
HymHub-v0.3.0-HILC-342	NvitILC-07364		XP_001601845.2
HymHub-v0.3.0-HILC-343	AmelILC-07203		XP_392481.4
HymHub-v0.3.0-HILC-343	BterILC-05527		XP_012166346.1
HymHub-v0.3.0-HILC-343	CfloILC-12113		XP_011256333.1
HymHub-v0.3.0-HILC-343	HsalILC-06340		XP_011136256.1
HymHub-v0.3.0-HILC-343	PcanILC-02281		XP_014616360.1
HymHub-v0.3.0-HILC-343	PdomILC-11469		XP_015184656.1
HymHub-v0.3.0-HILC-343	NvitILC-08358		XP_008203495.1
HymHub-v0.3.0-HILC-344	AmelILC-10175		XP_006564515.1
HymHub-v0.3.0-HILC-344	BterILC-07305		XP_012167802.1
HymHub-v0.3.0-HILC-344	CfloILC-07761		XP_011252660.1
HymHub-v0.3.0-HILC-344	HsalILC-02687		XP_011152808.1
HymHub-v0.3.0-HILC-344	PcanILC-13954		XP_014614223.1
HymHub-v0.3.0-HILC-344	PdomILC-12532		XP_015186107.1
HymHub-v0.3.0-HILC-344	NvitILC-18593		XP_008210185.1
HymHub-v0.3.0-HILC-345	AmelILC-03255		XP_394452.4
HymHub-v0.3.0-HILC-345	BterILC-01711		XP_003394402.2
HymHub-v0.3.0-HILC-345	CfloILC-12448		XP_011256830.1
HymHub-v0.3.0-HILC-345	HsalILC-17090		XP_011145619.1
HymHub-v0.3.0-HILC-345	PcanILC-11384		XP_014610765.1
HymHub-v0.3.0-HILC-345	PdomILC-14522		XP_015189010.1
HymHub-v0.3.0-HILC-345	NvitILC-04115		XP_008212466.1
HymHub-v0.3.0-HILC-346	AmelILC-02908		XP_003251296.1
HymHub-v0.3.0-HILC-346	BterILC-01249		XP_012174345.1
HymHub-v0.3.0-HILC-346	CfloILC-25522		XP_011266800.1
HymHub-v0.3.0-HILC-346	HsalILC-09059		XP_011138511.1
HymHub-v0.3.0-HILC-346	PcanILC-12918		XP_014612768.1
HymHub-v0.3.0-HILC-346	PdomILC-00094		XP_015171826.1
HymHub-v0.3.0-HILC-346	NvitILC-06216		NP_001154998.1
HymHub-v0.3.0-HILC-347	AmelILC-02929		XP_003251293.1
HymHub-v0.3.0-HILC-347	BterILC-01230		XP_012174204.1
HymHub-v0.3.0-HILC-347	CfloILC-02746		XP_011268149.1
HymHub-v0.3.0-HILC-347	HsalILC-17278		XP_011145781.1
HymHub-v0.3.0-HILC-347	PcanILC-05170		XP_014601562.1
HymHub-v0.3.0-HILC-347	PdomILC-09293		XP_015181408.1
HymHub-v0.3.0-HILC-347	NvitILC-06241		XP_008203840.1
HymHub-v0.3.0-HILC-348	AmelILC-04299		XP_003249710.1
HymHub-v0.3.0-HILC-348	BterILC-02593		XP_003394752.1
HymHub-v0.3.0-HILC-348	CfloILC-23297		XP_011265153.1
HymHub-v0.3.0-HILC-348	HsalILC-14359		XP_011143381.1
HymHub-v0.3.0-HILC-348	PcanILC-09569		XP_014608282.1
HymHub-v0.3.0-HILC-348	PdomILC-12517		XP_015186190.1
HymHub-v0.3.0-HILC-348	NvitILC-08211		XP_008203354.1
HymHub-v0.3.0-HILC-349	AmelILC-03296		XP_006558483.1
HymHub-v0.3.0-HILC-349	BterILC-01739		XP_003394312.1
HymHub-v0.3.0-HILC-349	CfloILC-17927		XP_011261014.1
HymHub-v0.3.0-HILC-349	HsalILC-04595		XP_011155277.1
HymHub-v0.3.0-HILC-349	PcanILC-06091		XP_014602985.1
HymHub-v0.3.0-HILC-349	PdomILC-05236		XP_015175127.1
HymHub-v0.3.0-HILC-349	NvitILC-07693		XP_008216526.1
HymHub-v0.3.0-HILC-350	AmelILC-06457		XP_006564151.1
HymHub-v0.3.0-HILC-350	BterILC-03991		XP_012164620.1
HymHub-v0.3.0-HILC-350	CfloILC-17463		XP_011260743.1
HymHub-v0.3.0-HILC-350	HsalILC-08358		XP_011137835.1
HymHub-v0.3.0-HILC-350	PcanILC-12478		XP_014612263.1
HymHub-v0.3.0-HILC-350	PdomILC-10254		XP_015182875.1
HymHub-v0.3.0-HILC-350	NvitILC-05001		XP_008217715.1
HymHub-v0.3.0-HILC-351	AmelILC-16226		XP_001121363.2
HymHub-v0.3.0-HILC-351	BterILC-01026		XP_003393630.1
HymHub-v0.3.0-HILC-351	CfloILC-11679		XP_011255911.1
HymHub-v0.3.0-HILC-351	HsalILC-26474		XP_011153411.1
HymHub-v0.3.0-HILC-351	PcanILC-03360		XP_014598552.1
HymHub-v0.3.0-HILC-351	PdomILC-01001		XP_015182218.1
HymHub-v0.3.0-HILC-351	NvitILC-22523		NP_001122837.2
HymHub-v0.3.0-HILC-352	AmelILC-03301		XP_396892.2
HymHub-v0.3.0-HILC-352	BterILC-01736		XP_003394316.1
HymHub-v0.3.0-HILC-352	CfloILC-01757		XP_011259736.1
HymHub-v0.3.0-HILC-352	HsalILC-04587		XP_011155271.1
HymHub-v0.3.0-HILC-352	PcanILC-06096		XP_014602932.1
HymHub-v0.3.0-HILC-352	PdomILC-05230		XP_015175123.1
HymHub-v0.3.0-HILC-352	NvitILC-07701		XP_008216532.1
HymHub-v0.3.0-HILC-353	AmelILC-09745		NP_001011602.1
HymHub-v0.3.0-HILC-353	BterILC-05970		XP_012166840.1
HymHub-v0.3.0-HILC-353	CfloILC-25391		XP_011266698.1
HymHub-v0.3.0-HILC-353	HsalILC-10507		XP_011139865.1
HymHub-v0.3.0-HILC-353	PcanILC-09253		XP_014607767.1
HymHub-v0.3.0-HILC-353	PdomILC-07505		XP_015178599.1
HymHub-v0.3.0-HILC-353	NvitILC-10501		XP_008207188.1
HymHub-v0.3.0-HILC-354	AmelILC-07963		XP_394713.2
HymHub-v0.3.0-HILC-354	BterILC-05793		XP_003397366.1
HymHub-v0.3.0-HILC-354	CfloILC-22876		XP_011264700.1
HymHub-v0.3.0-HILC-354	HsalILC-03230		XP_011154014.1
HymHub-v0.3.0-HILC-354	PcanILC-07977		XP_014605853.1
HymHub-v0.3.0-HILC-354	PdomILC-11706		XP_015185032.1
HymHub-v0.3.0-HILC-354	NvitILC-13499		XP_008202376.1
HymHub-v0.3.0-HILC-355	AmelILC-13033		XP_006564108.1
HymHub-v0.3.0-HILC-355	BterILC-09275		XP_012170659.1
HymHub-v0.3.0-HILC-355	CfloILC-22357		XP_011264323.1
HymHub-v0.3.0-HILC-355	HsalILC-20912		XP_011148884.1
HymHub-v0.3.0-HILC-355	PcanILC-05064		XP_014601331.1
HymHub-v0.3.0-HILC-355	PdomILC-12987		XP_015186851.1
HymHub-v0.3.0-HILC-355	NvitILC-07992		XP_008205179.1
HymHub-v0.3.0-HILC-356	AmelILC-05548		XP_006567991.1
HymHub-v0.3.0-HILC-356	BterILC-11921		XP_012173598.1
HymHub-v0.3.0-HILC-356	CfloILC-04080		XP_011269365.1
HymHub-v0.3.0-HILC-356	HsalILC-00546		XP_011134901.1
HymHub-v0.3.0-HILC-356	PcanILC-00762		XP_014605616.1
HymHub-v0.3.0-HILC-356	PdomILC-09943		XP_015182371.1
HymHub-v0.3.0-HILC-356	NvitILC-04741		XP_001603690.2
HymHub-v0.3.0-HILC-357	AmelILC-05536		XP_006567785.1
HymHub-v0.3.0-HILC-357	BterILC-03528		XP_003395658.1
HymHub-v0.3.0-HILC-357	CfloILC-19541		XP_011262186.1
HymHub-v0.3.0-HILC-357	HsalILC-04763		XP_011134947.1
HymHub-v0.3.0-HILC-357	PcanILC-05644		XP_014602261.1
HymHub-v0.3.0-HILC-357	PdomILC-01561		XP_015187958.1
HymHub-v0.3.0-HILC-357	NvitILC-14335		XP_001603443.2
HymHub-v0.3.0-HILC-358	AmelILC-15666		XP_006571930.1
HymHub-v0.3.0-HILC-358	BterILC-02020		XP_012175853.1
